Date,Open,High,Low,Close,Adj Close,Volume
2012-06-06,66.559998,67.580002,66.510002,67.580002,56.344479,1571300
2012-06-07,68.379997,68.400002,67.419998,67.500000,56.277767,2965700
2012-06-08,67.339996,68.089996,67.110001,68.089996,56.769688,1076900
2012-06-11,68.650002,68.709999,67.040001,67.139999,55.977631,1439700
2012-06-12,67.250000,67.919998,66.970001,67.870003,56.586269,1324600
2012-06-13,67.650002,68.080002,67.160004,67.370003,56.169384,1517100
2012-06-14,67.500000,68.320000,67.320000,68.070000,56.752998,1638500
2012-06-15,68.279999,68.849998,68.230003,68.769997,57.336632,3736600
2012-06-18,68.550003,69.139999,68.330002,68.970001,57.503365,1790500
2012-06-19,69.360001,69.989998,69.250000,69.699997,58.112003,1461100
2012-06-20,69.720001,69.930000,69.089996,69.570000,58.003613,1764800
2012-06-21,69.639999,69.720001,67.940002,68.000000,56.694641,1732700
2012-06-22,68.349998,68.669998,68.099998,68.550003,57.153210,1218300
2012-06-25,67.480003,67.500000,66.839996,67.089996,56.219711,3125500
2012-06-26,67.260002,67.629997,66.879997,67.410004,56.487869,2155800
2012-06-27,67.599998,68.160004,67.580002,68.059998,57.032520,2700300
2012-06-28,67.610001,67.980003,67.110001,67.919998,56.915207,1266600
2012-06-29,69.190002,69.699997,68.970001,69.699997,58.406792,2008600
2012-07-02,69.870003,69.949997,69.379997,69.889999,58.565998,1567800
2012-07-03,69.949997,70.489998,69.839996,70.459999,59.043682,1297100
2012-07-05,70.220001,70.489998,69.879997,70.169998,58.800655,1128100
2012-07-06,69.540001,69.639999,69.139999,69.510002,58.247601,2093000
2012-07-09,69.400002,69.489998,69.040001,69.339996,58.105137,1117200
2012-07-10,69.699997,69.820000,68.480003,68.720001,57.585583,1234800
2012-07-11,68.760002,68.949997,68.300003,68.669998,57.543709,854400
2012-07-12,68.250000,68.660004,67.820000,68.400002,57.317463,1466600
2012-07-13,68.540001,69.540001,68.519997,69.470001,58.214077,2240100
2012-07-16,69.330002,69.500000,69.010002,69.300003,58.071606,670900
2012-07-17,69.580002,69.879997,68.809998,69.760002,58.457085,1976200
2012-07-18,69.559998,70.449997,69.540001,70.260002,58.876087,1975400
2012-07-19,70.410004,70.629997,70.139999,70.379997,58.976643,1023300
2012-07-20,70.019997,70.080002,69.669998,69.739998,58.440338,1028600
2012-07-23,68.660004,69.169998,68.349998,68.970001,57.795074,1398100
2012-07-24,69.040001,69.059998,67.900002,68.349998,57.275551,1128500
2012-07-25,68.510002,68.680000,68.029999,68.360001,57.283939,1299400
2012-07-26,69.370003,69.570000,68.970001,69.400002,58.155426,1121000
2012-07-27,69.820000,70.940002,69.669998,70.769997,59.303459,1422100
2012-07-30,70.709999,71.050003,70.489998,70.699997,59.244781,1882700
2012-07-31,70.629997,70.820000,70.309998,70.309998,58.917965,841100
2012-08-01,70.669998,70.690002,69.980003,70.029999,58.683334,1300600
2012-08-02,69.559998,70.029999,69.029999,69.550003,58.281105,1165700
2012-08-03,70.589996,71.129997,70.500000,70.959999,59.462650,1486400
2012-08-06,71.129997,71.419998,71.080002,71.139999,59.613503,1019600
2012-08-07,71.459999,71.879997,71.430000,71.570000,59.973804,1085900
2012-08-08,71.320000,71.750000,71.290001,71.660004,60.049225,945700
2012-08-09,71.529999,71.879997,71.510002,71.720001,60.099529,699200
2012-08-10,71.500000,71.870003,71.330002,71.860001,60.216843,1391300
2012-08-13,71.730003,71.849998,71.379997,71.800003,60.166561,1489400
2012-08-14,72.080002,72.120003,71.589996,71.779999,60.149796,1070300
2012-08-15,71.690002,72.029999,71.660004,71.940002,60.283878,897400
2012-08-16,72.019997,72.580002,71.820000,72.489998,60.744720,1422600
2012-08-17,72.559998,72.690002,72.440002,72.629997,60.862061,1140400
2012-08-20,72.529999,72.629997,72.300003,72.620003,60.853699,1145100
2012-08-21,72.800003,73.110001,72.250000,72.470001,60.728008,2609400
2012-08-22,72.220001,72.529999,72.019997,72.379997,60.652584,2093300
2012-08-23,72.260002,72.269997,71.720001,71.839996,60.200069,1682300
